709,586,829,583,829,609,710,612
833,576,981,570,983,606,835,612
988,569,1071,581,1067,612,984,600
1071,574,1118,574,1118,600,1071,600
;
172,624,303,620,303,648,173,652
323,624,430,624,430,658,323,658
433,626,459,626,459,658,433,658
499,624,554,624,554,658,499,658
557,624,664,624,664,655,557,655
673,623,780,627,779,660,672,657
780,624,817,624,817,652,780,652
823,615,866,615,866,650,823,650
867,620,931,624,929,651,865,647
930,621,964,621,964,647,930,647
967,615,1063,615,1063,647,967,647
;
456,629,508,629,508,673,456,673
;
332,676,381,676,381,699,332,699
382,668,429,673,426,701,379,696
431,666,536,676,533,710,428,700
537,673,592,673,592,710,537,710
596,661,755,654,757,699,598,706
756,670,918,670,918,704,756,704
921,673,979,673,979,704,921,704
979,661,1071,661,1071,696,979,696
1077,661,1126,661,1126,693,1077,693
;
208,721,304,728,302,750,207,743
306,716,439,716,439,751,306,751
439,725,571,714,574,745,442,756
577,722,606,722,606,754,577,754
607,717,714,722,712,758,605,753
710,716,768,716,768,748,710,748
777,710,936,710,936,748,777,748
933,707,979,707,979,748,933,748
982,704,1115,704,1115,745,982,745
;
332,774,366,774,366,794,332,794
372,765,413,765,413,794,372,794
411,771,473,767,475,794,413,798
473,762,514,762,514,794,473,794
522,771,612,771,612,794,522,794
610,776,657,771,659,794,612,798
661,774,699,774,699,791,661,791
699,768,751,768,751,794,699,794
748,765,797,765,797,794,748,794
800,768,837,768,837,791,800,791
834,765,878,765,878,791,834,791
878,759,990,759,990,800,878,800
988,762,1031,762,1031,797,988,797
1031,761,1125,767,1122,803,1029,797
;
329,811,375,811,375,840,329,840
386,814,537,809,538,845,387,851
543,814,644,817,643,843,542,839
;
557,852,606,852,606,895,557,895
603,852,629,852,629,884,603,884
626,846,768,846,768,884,626,884
797,846,964,846,964,878,797,878
;
294,904,416,904,416,933,294,933
418,907,470,907,470,938,418,938
476,912,528,912,528,933,476,933
531,901,606,901,606,930,531,930
616,895,696,908,690,943,611,931
697,907,785,901,787,934,699,940
782,904,840,904,840,936,782,936
849,895,884,895,884,924,849,924
884,898,941,898,941,927,884,927
941,892,979,892,979,930,941,930
982,891,1124,897,1123,929,981,923
;
326,956,372,956,372,979,326,979
375,947,444,947,444,979,375,979
442,950,557,950,557,979,442,979
569,944,687,944,687,982,569,982
696,959,733,959,733,976,696,976
733,950,858,950,858,988,733,988
856,952,990,943,992,976,858,985
999,950,1112,950,1112,973,999,973
;
332,993,372,993,372,1025,332,1025
375,993,485,993,485,1022,375,1022
485,999,551,999,551,1031,485,1031
555,992,700,1001,698,1031,553,1022
707,993,803,993,803,1022,707,1022
806,996,858,996,858,1028,806,1028
858,999,927,999,927,1019,858,1019
933,990,1037,993,1036,1030,932,1027
1037,999,1126,999,1126,1022,1037,1022
;
326,1040,433,1040,433,1071,326,1071
434,1051,548,1045,550,1080,436,1087
554,1042,644,1042,644,1083,554,1083
644,1045,719,1045,719,1083,644,1083
730,1034,777,1034,777,1071,730,1071
777,1042,927,1042,927,1083,777,1083
928,1031,1122,1040,1120,1080,926,1071
;
598,1086,681,1086,681,1118,598,1118
;
899,1088,1032,1203,977,1267,843,1152
;
326,1097,589,1092,589,1129,326,1135
832,1094,872,1094,872,1115,832,1115
881,1092,959,1092,959,1120,881,1120
;
268,1132,335,1132,335,1181,268,1181
335,1141,366,1141,366,1167,335,1167
371,1138,496,1130,498,1171,373,1179
503,1132,654,1141,651,1186,500,1176
650,1135,725,1135,725,1181,650,1181
728,1138,797,1138,797,1170,728,1170
800,1135,860,1135,860,1164,800,1164
947,1129,985,1129,985,1158,947,1158
988,1131,1136,1138,1134,1180,986,1173
;
274,1184,517,1184,517,1236,274,1236
518,1188,709,1177,711,1212,520,1223
716,1187,742,1187,742,1219,716,1219
742,1184,803,1184,803,1222,742,1222
800,1184,869,1184,869,1219,800,1219
866,1178,904,1178,904,1207,866,1207
1014,1175,1118,1175,1118,1207,1014,1207
;
312,1227,384,1227,384,1259,312,1259
388,1236,502,1229,504,1256,390,1263
516,1228,692,1223,694,1267,517,1272
696,1230,785,1230,785,1268,696,1268
791,1222,866,1222,866,1256,791,1256
867,1224,945,1228,943,1265,865,1261
994,1219,1078,1224,1077,1252,992,1247
;
321,1279,438,1272,440,1305,323,1312
446,1273,542,1269,544,1302,447,1306
549,1265,666,1272,664,1309,547,1302
670,1271,730,1271,730,1302,670,1302
728,1279,762,1279,762,1311,728,1311
767,1268,944,1265,945,1308,768,1311
941,1268,982,1268,982,1305,941,1305
979,1268,1019,1268,1019,1300,979,1300
1019,1276,1042,1276,1042,1300,1019,1300
1042,1274,1144,1274,1144,1300,1042,1300
;
150,1337,231,1337,231,1357,150,1357
234,1337,254,1337,254,1357,234,1357
260,1337,314,1337,314,1357,260,1357
317,1326,366,1326,366,1363,317,1363
375,1311,488,1326,482,1374,369,1359
483,1315,734,1326,732,1375,480,1364
733,1314,823,1314,823,1357,733,1357
821,1324,1045,1310,1047,1353,824,1367
1051,1315,1116,1320,1114,1350,1049,1346
;
641,1358,763,1362,762,1399,640,1395
988,1360,1037,1360,1037,1392,988,1392
1040,1357,1094,1357,1094,1392,1040,1392
;
141,1383,173,1383,173,1401,141,1401
175,1383,274,1378,275,1401,176,1405
283,1378,317,1378,317,1401,283,1401
323,1372,528,1372,528,1406,323,1406
538,1363,640,1372,636,1416,534,1406
771,1375,961,1360,965,1410,775,1425
956,1366,993,1366,993,1404,956,1404
;
310,1415,415,1408,417,1444,312,1451
693,1409,742,1409,742,1441,693,1441
765,1404,820,1404,820,1441,765,1441
973,1409,1040,1409,1040,1438,973,1438
1040,1406,1129,1406,1129,1438,1040,1438
;
450,1409,534,1409,534,1508,450,1508
;
167,1418,300,1418,300,1450,167,1450
436,1412,462,1412,462,1444,436,1444
522,1421,577,1421,577,1456,522,1456
580,1412,641,1412,641,1444,580,1444
638,1415,690,1415,690,1456,638,1456
748,1415,762,1415,762,1441,748,1441
826,1412,967,1412,967,1441,826,1441
;
176,1467,321,1470,320,1498,175,1495
324,1470,447,1461,450,1497,326,1506
534,1458,682,1461,681,1501,533,1497
678,1458,748,1458,748,1499,678,1499
767,1454,979,1447,980,1481,768,1489
979,1447,1135,1447,1135,1493,979,1493
;
156,1516,300,1516,300,1539,156,1539
309,1510,580,1510,580,1548,309,1548
581,1497,708,1501,707,1546,579,1542
710,1502,858,1502,858,1551,710,1551
852,1499,1011,1499,1011,1548,852,1548
1022,1502,1106,1502,1106,1539,1022,1539
;
164,1568,202,1568,202,1583,164,1583
202,1562,298,1566,297,1589,201,1585
305,1560,396,1547,401,1585,310,1598
404,1552,552,1558,551,1595,403,1589
560,1554,632,1554,632,1580,560,1580
638,1562,676,1562,676,1583,638,1583
681,1551,748,1551,748,1583,681,1583
762,1557,817,1557,817,1591,762,1591
806,1553,880,1539,886,1572,812,1586
881,1545,941,1545,941,1577,881,1577
941,1542,1014,1542,1014,1580,941,1580
1022,1557,1063,1557,1063,1577,1022,1577
1066,1557,1103,1557,1103,1580,1066,1580
;
171,1603,316,1596,318,1637,173,1644
323,1606,439,1606,439,1640,323,1640
508,1600,537,1600,537,1632,508,1632
541,1595,651,1605,648,1641,537,1631
664,1594,792,1598,791,1633,663,1629
811,1600,858,1600,858,1635,811,1635
860,1597,990,1597,990,1643,860,1643
993,1585,1137,1604,1132,1644,988,1626
;
447,1609,502,1609,502,1649,447,1649
;
